"Page","Content Type","Section","English Text","Vietnamese Text","Notes"
"About Us","Paragraph","Item 58","Healthcare IT","Công nghệ thông tin y tế",""
"About Us","Paragraph","Item 59","Technical Consultancy","Tư vấn kỹ thuật",""
"About Us","Paragraph","Item 60","Research Collaboration","Hợp tác nghiên cứu",""
"Services","SEO - Page Title","Meta Tag","Our Services","Dịch vụ","Browser tab title"
"Services","SEO - Meta Description","Meta Tag","People-centered consultancy services: Holistic Systems Integration, Workflow Optimization, Training & Capacity Building, and Product Development.","Dịch vụ tư vấn lấy con người làm trung tâm: Tích hợp Hệ thống Toàn diện, Tối ưu hóa Quy trình, Đào tạo & Phát triển Năng lực, Phát triển Sản phẩm.","Search engine description"
"Services","Main Heading (H1)","Item 1","Our Core Services","Các dịch vụ chính",""
"Services","Paragraph","Item 2","People-centered consultancy services designed to help you navigate technology challenges and opportunities","Dịch vụ tư vấn lấy con người làm trọng tâm được thiết kế để giúp bạn vượt qua thách thức và tận dụng cơ hội công nghệ một cách hiệu quả.",""
"Services","Subsection Heading (H3)","Item 3","Holistic Systems Integration","Tích hợp hệ thống toàn diện",""
"Services","Paragraph","Item 4","Comprehensive integration planning that encompasses hardware, software, networks, workflows, AND people - ensuring adoption success through independent guidance, training, and support.","Lập kế hoạch tích hợp tổng thể bao gồm phần cứng, phần mềm, kết nối mạng, quy trình và con người – để bảo đảm triển khai thành công nhờ hướng dẫn độc lập, chương trình đào tạo và hỗ trợ thực tế.",""
"Services","Label/Badge","Item 5","Independent technology assessment & vendor-neutral recommendations","Đánh giá công nghệ và đưa ra khuyến nghị trung lập, không phụ thuộc nhà cung cấp.",""
"Services","Label/Badge","Item 6","Hardware, software, and network infrastructure integration","Tích hợp đồng bộ phần cứng, phần mềm và hạ tầng mạng.",""
"Services","Label/Badge","Item 7","Organization workflow analysis & alignment","Phân tích và điều chỉnh quy trình hoạt động của tổ chức.",""
"Services","Label/Badge","Item 8","User readiness evaluation & capability assessment","Đánh giá mức độ sẵn sàng và năng lực của người dùng.",""
"Services","Label/Badge","Item 9","Change management planning & Return on Investment analysis","Lập kế hoạch quản lý thay đổi và phân tích lợi tức đầu tư (ROI).",""
"Services","Subsection Heading (H3)","Item 10","Workflow Optimization","Tối ưu hóa quy trình làm việc",""
"Services","Paragraph","Item 11","Process analysis and redesign that respects organizational culture while introducing efficiency improvements. We optimize for both technology and people.","Phân tích và cải tiến quy trình dựa trên văn hóa doanh nghiệp, hướng đến hiệu quả cao hơn. Tối ưu hóa đồng thời cho cả công nghệ lẫn con người.",""
"Services","Label/Badge","Item 12","Process mapping & analysis","Lập sơ đồ và phân tích quy trình.",""
"Services","Label/Badge","Item 13","Bottleneck identification","Xác định điểm nghẽn trong vận hành.",""
"Services","Label/Badge","Item 14","Culture-sensitive redesign","Thiết kế lại quy trình phù hợp với đặc thù văn hóa tổ chức.",""
"Services","Label/Badge","Item 15","Efficiency improvement strategies","Chiến lược nâng cao hiệu quả làm việc.",""
"Services","Label/Badge","Item 16","Technology-enabled optimization","Tối ưu hóa quy trình với sự hỗ trợ của công nghệ.",""
"Services","Subsection Heading (H3)","Item 17","Training & Capacity Building","Đào tạo và phát triển năng lực",""
"Services","Paragraph","Item 18","Comprehensive user training, adoption support, and capacity building to ensure your team can effectively use and maintain integrated systems.","Cung cấp chương trình đào tạo toàn diện, hỗ trợ triển khai và phát triển năng lực để đội ngũ của bạn có thể vận hành hệ thống tích hợp một cách hiệu quả nhất.",""
"Services","Label/Badge","Item 19","Comprehensive user training programs","Các chương trình đào tạo người dùng toàn diện.",""
"Services","Label/Badge","Item 20","Technology adoption workshops","Các buổi thực hành áp dụng công nghệ.",""
"Services","Label/Badge","Item 21","Ongoing support & troubleshooting","Hỗ trợ kỹ thuật và khắc phục sự cố liên tục.",""
"Services","Label/Badge","Item 22","Capacity building initiatives","Chủ động phát triển năng lực đội ngũ.",""
"Services","Label/Badge","Item 23","Knowledge transfer sessions","Chia sẻ và chuyển giao kiến thức.",""
"Services","Subsection Heading (H3)","Item 24","Product Development","Phát triển sản phẩm",""
"Services","Paragraph","Item 25","Partnering with healthcare innovators to transform ideas into market-ready solutions through comprehensive product development support, from concept validation to market entry.","Hợp tác với các chuyên gia đổi mới trong lĩnh vực y tế để biến ý tưởng thành sản phẩm sẵn sàng thương mại hóa, với sự hỗ trợ toàn diện từ giai đoạn kiểm chứng ý tưởng đến khi đưa ra thị trường.",""
"Services","Label/Badge","Item 26","Concept & feasibility assessment","Đánh giá ý tưởng và tính khả thi của sản phẩm.",""
"Services","Label/Badge","Item 27","User needs analysis & validation","Phân tích và xác thực nhu cầu của người dùng.",""
"Services","Label/Badge","Item 28","Regulatory compliance guidance","Hướng dẫn tuân thủ các quy định pháp lý.",""
"Services","Label/Badge","Item 29","Prototype development support","Hỗ trợ phát triển và hoàn thiện nguyên mẫu.",""
"Services","Label/Badge","Item 30","Market entry strategy","Chiến lược thâm nhập thị trường hiệu quả.",""
"Services","Section Heading (H2)","Item 31","Free 30-Minute Strategy Session","Đăng ký 30 phút tư vấn miễn phí",""
"Services","Paragraph","Item 32","Explore your technology integration challenges with our expert. Get preliminary feedback and actionable insights - no commitment required.","Trao đổi cùng chuyên gia của chúng tôi về những thách thức trong việc tích hợp công nghệ của bạn. Nhận phản hồi nhanh và gợi ý giải pháp thực tế – hoàn toàn miễn phí, không ràng buộc.",""
"Services","Link Text","Item 33","Book Your Free Session","Đặt lịch tư vấn",""
"Solutions","SEO - Page Title","Meta Tag","Industry Solutions","Giải pháp Ngành","Browser tab title"
"Solutions","SEO - Meta Description","Meta Tag","People-first systems integration solutions for Healthcare, Beauty Tech, and diverse industry sectors across APAC region.","Giải pháp tích hợp hệ thống lấy con người làm trung tâm cho Y tế, Công nghệ Làm đẹp, và các ngành công nghiệp đa dạng ở khu vực APAC.","Search engine description"
"Solutions","Main Heading (H1)","Item 1","Industry Solutions","Giải pháp chuyên ngành",""
"Solutions","Paragraph","Item 2","We understand the unique integration challenges across different sectors","Chúng tôi am hiểu sâu sắc các thách thức đặc thù trong việc tích hợp hệ thống ở các chuyên ngành khác nhau.",""
"Solutions","Subsection Heading (H3)","Item 3","Healthcare","Y tế",""
"Solutions","Paragraph","Item 4","Comprehensive systems integration for modern healthcare facilities","Giải pháp tích hợp hệ thống toàn diện cho các cơ sở y tế hiện đại.",""
"Solutions","Label/Badge","Item 5","Hospital Information Systems (HIS) integration","Tích hợp hệ thống thông tin bệnh viện (HIS).",""
"Solutions","Label/Badge","Item 6","Medical device connectivity and data management","Kết nối thiết bị y tế và quản lý dữ liệu hiệu quả.",""
"Solutions","Label/Badge","Item 7","Telemedicine platform implementation","Triển khai nền tảng y tế từ xa.",""
"Solutions","Label/Badge","Item 8","Patient data security and compliance","Bảo mật dữ liệu bệnh nhân và tuân thủ các quy định y tế.",""
"Solutions","Label/Badge","Item 9","Healthcare workflow optimization","Tối ưu hóa quy trình làm việc trong chăm sóc sức khỏe.",""
"Solutions","Subsection Heading (H3)","Item 10","Beauty Tech","Công nghệ Làm đẹp",""
"Solutions","Paragraph","Item 11","Technology and device integration for product quality control and data management","Giải pháp tích hợp công nghệ và thiết bị giúp kiểm soát chất lượng sản phẩm và quản lý dữ liệu hiệu quả.",""
"Solutions","Label/Badge","Item 12","Quality control device integration and data capture","Tích hợp thiết bị kiểm soát chất lượng và thu thập dữ liệu tự động.",""
"Solutions","Label/Badge","Item 13","Product testing and analysis equipment connectivity","Kết nối thiết bị kiểm nghiệm và phân tích sản phẩm.",""
"Solutions","Label/Badge","Item 14","Laboratory information management systems (LIMS)","Hệ thống quản lý thông tin phòng thí nghiệm (LIMS).",""
"Solutions","Label/Badge","Item 15","Traceability and compliance data management","Quản lý dữ liệu cho truy xuất nguồn gốc và tuân thủ tiêu chuẩn.",""
"Solutions","Label/Badge","Item 16","Real-time quality monitoring and reporting","Giám sát và báo cáo chất lượng theo thời gian thực.",""
"Solutions","Subsection Heading (H3)","Item 17","Other Industries","Các ngành khác",""
"Solutions","Paragraph","Item 18","Systems integration solutions for diverse sectors beyond our core focus areas","Giải pháp tích hợp linh hoạt cho nhiều ngành nghề khác ngoài các lĩnh vực trọng điểm của chúng tôi.",""
"Solutions","Label/Badge","Item 19","Education technology and learning management systems","Giải pháp công nghệ giáo dục và hệ thống quản lý học tập.",""
"Solutions","Label/Badge","Item 20","Manufacturing and production management systems","Giải pháp cho hệ thống quản lý sản xuất và vận hành nhà máy.",""
"Solutions","Label/Badge","Item 21","Retail and e-commerce platforms","Giải pháp cho ngành bán lẻ và thương mại điện tử.",""
"Solutions","Label/Badge","Item 22","Financial services and logistics","Giải pháp tích hợp cho ngành tài chính và logistics.",""
"Solutions","Label/Badge","Item 23","Hospitality and custom solutions","Giải pháp tùy chỉnh cho lĩnh vực khách sạn và dịch vụ.",""
"Solutions","Section Heading (H2)","Item 24","Free 30-Minute Strategy Session","Đăng ký 30 phút tư vấn miễn phí",""
"Solutions","Paragraph","Item 25","Explore your technology integration challenges with our expert. Get preliminary feedback and actionable insights - no commitment required.","Trao đổi cùng chuyên gia của chúng tôi về những thách thức trong việc tích hợp công nghệ của bạn. Nhận phản hồi nhanh và gợi ý giải pháp thực tế – hoàn toàn miễn phí, không ràng buộc.",""
"Solutions","Link Text","Item 26","Book Your Free Session","Đặt lịch tư vấn",""
"Collaboration","SEO - Page Title","Meta Tag","Partnership Opportunities","Cơ hội Hợp tác","Browser tab title"
"Collaboration","SEO - Meta Description","Meta Tag","Partner with HealthSyncX for collaboration opportunities in healthcare technology, systems integration, and research across APAC region.","Hợp tác với HealthSyncX cho các cơ hội hợp tác trong công nghệ y tế, tích hợp hệ thống và nghiên cứu trên khu vực APAC.","Search engine description"
"Collaboration","Main Heading (H1)","Item 1","Partner with HealthSyncX","Hợp tác cùng HealthSyncX",""
"Collaboration","Paragraph","Item 2","Expand your reach in Vietnam and the APAC region through strategic partnership","Mở rộng phạm vi hoạt động tại Việt Nam và khu vực Châu Á – Thái Bình Dương bằng hợp tác chiến lược.",""
"Collaboration","Section Heading (H2)","Item 3","Why Partner with Us?","Vì sao nên hợp tác với chúng tôi?",""
"Collaboration","Paragraph","Item 4","We bring deep local expertise, international experience, and a proven track record in healthcare technology integration across the APAC region. Our partnerships are built on shared vision, mutual trust, and commitment to delivering value.","Chúng tôi kết hợp kinh nghiệm quốc tế, am hiểu thị trường địa phương và thành tích đã được chứng minh trong lĩnh vực tích hợp công nghệ y tế trên toàn khu vực Châu Á – Thái Bình Dương. Các mối quan hệ hợp tác đều dựa trên tầm nhìn chung, sự tin cậy và cam kết mang lại giá trị thực tế.",""
"Collaboration","Subsection Heading (H3)","Item 5","Local Market Expertise","Hiểu biết sâu về thị trường địa phương",""
"Collaboration","Paragraph","Item 6","Deep understanding of Vietnam and APAC healthcare markets, regulations, and user needs","Thấu hiểu thị trường y tế Việt Nam và khu vực APAC, nắm rõ quy định, nhu cầu và xu hướng của người dùng.",""
"Collaboration","Subsection Heading (H3)","Item 7","Established Network","Mạng lưới đối tác vững mạnh",""
"Collaboration","Paragraph","Item 8","Strong relationships with healthcare providers, universities, and technology partners","Sở hữu mối quan hệ chặt chẽ với các nhà cung cấp dịch vụ y tế, trường đại học và đối tác công nghệ hàng đầu.",""
"Collaboration","Subsection Heading (H3)","Item 9","Technical Excellence","Năng lực kỹ thuật vượt trội",""
"Collaboration","Paragraph","Item 10","Advanced expertise in biomedical engineering, healthcare IT, and integration systems","Chuyên môn sâu trong kỹ thuật y sinh, CNTT y tế và các hệ thống tích hợp phức hợp.",""
"Collaboration","Subsection Heading (H3)","Item 11","Bilingual Support","Hỗ trợ song ngữ",""
"Collaboration","Paragraph","Item 12","Seamless communication in English and Vietnamese, bridging international partners with local teams","Giao tiếp trôi chảy bằng cả tiếng Anh và tiếng Việt, giúp kết nối các đối tác quốc tế với đội ngũ địa phương mà không gặp rào cản ngôn ngữ hay văn hóa.",""
"Collaboration","Section Heading (H2)","Item 14","New Zealand - Vietnam Bridge","Cầu nối công nghệ New Zealand – Việt Nam",""
"Collaboration","Paragraph","Item 16","HealthSyncX serves as a unique bridge between New Zealand's advanced healthcare innovation ecosystem and Vietnam's rapidly growing healthcare market. With operations in both countries, we understand the strengths, needs, and opportunities in each market. We help New Zealand companies navigate Vietnam's regulatory landscape and cultural context, while connecting Vietnamese organizations with world-class healthcare technologies and best practices from New Zealand.","HealthSyncX đóng vai trò là cầu nối giữa hệ sinh thái công nghệ y tế tiên tiến của New Zealand và thị trường y tế đang phát triển nhanh tại Việt Nam. Nhờ hoạt động tại cả hai quốc gia, chúng tôi hiểu rõ thế mạnh, nhu cầu và cơ hội của từng thị trường. HealthSyncX hỗ trợ doanh nghiệp New Zealand tiếp cận môi trường pháp lý và văn hóa Việt Nam, đồng thời giúp tổ chức Việt tiếp cận công nghệ và chuẩn mực y tế quốc tế từ New Zealand.",""
"Collaboration","Section Heading (H2)","Item 17","Partnership Opportunities","Các loại hình hợp tác",""
"Collaboration","Subsection Heading (H3)","Item 18","Technology Partner","Đối tác công nghệ",""
"Collaboration","Paragraph","Item 19","Medical device manufacturers, healthcare software providers, and technology innovators seeking to enter or expand in the APAC market","Các nhà sản xuất thiết bị y tế, đơn vị cung cấp phần mềm và doanh nghiệp đổi mới công nghệ muốn mở rộng sang thị trường khu vực Châu Á – Thái Bình Dương.",""
"Collaboration","Paragraph","Item 20","Market entry support • Regulatory guidance • Local distribution • Integration services • Innovation collaboration","Hỗ trợ tiếp cận thị trường • Tư vấn pháp lý • Phân phối nội địa • Dịch vụ tích hợp • Hợp tác sáng tạo đổi mới",""
"Collaboration","Subsection Heading (H3)","Item 21","Healthcare Innovation Partner","Đối tác đổi mới hệ thống y tế",""
"Collaboration","Paragraph","Item 22","Hospitals, clinics, research institutions, and healthcare providers looking for systems integration expertise and technology transformation support","Bệnh viện, phòng khám và tổ chức y tế muốn nâng cấp công nghệ, tích hợp hệ thống hoặc triển khai chương trình chuyển đổi số.",""
"Collaboration","Paragraph","Item 23","Technologies evaluation • Systems integration • Digital transformation • Training & support • Best practice guidance","Đánh giá lựa chọn công nghệ • Tích hợp các hệ thống • Chuyển đổi số • Đào tạo & hỗ trợ • Chia sẻ kinh nghiệm thực tiễn",""
"Collaboration","Subsection Heading (H3)","Item 24","Research & Education Partner","Đối tác nghiên cứu và giáo dục đào tạo",""
"Collaboration","Paragraph","Item 25","Universities, research centers, and educational institutions interested in collaborative projects, knowledge exchange, and capacity building","Các trường đại học, trung tâm nghiên cứu và cơ sở giáo dục mong muốn hợp tác nghiên cứu, chia sẻ kiến thức và phát triển năng lực.",""
"Collaboration","Paragraph","Item 26","Joint research • Knowledge exchange • Student programs • Innovation collaboration","Hợp tác nghiên cứu • Trao đổi kiến thức • Chương trình đào tạo sinh viên • Hợp tác sáng tạo đổi mới",""
"Collaboration","Section Heading (H2)","Item 27","Partner Inquiry","Tìm hiểu chi tiết về hợp tác",""
"Collaboration","Paragraph","Item 28","Interested in exploring partnership opportunities? Share your information and we'll be in touch to discuss how we can collaborate.","Nếu bạn quan tâm đến việc hợp tác, xin để lại thông tin bên dưới. Chúng tôi sẽ liên hệ để trao đổi chi tiết.",""
"Collaboration","Form Label","Item 29","Name *","Họ và tên *",""
"Collaboration","Form Label","Item 30","Email *","Email *",""
"Collaboration","Form Label","Item 31","Company/Organization *","Công ty/Tổ chức *",""
"Collaboration","Form Label","Item 32","Phone *","Điện thoại *",""
"Collaboration","Form Label","Item 33","Website (optional)","Website (nếu có)",""
"Collaboration","Form Label","Item 34","Partnership Interest *","Hình thức hợp tác *",""
"Collaboration","Text Content","Item 35","Select partnership type","Chọn hình thức hợp tác",""
"Collaboration","Text Content","Item 36","Technology Partner","Đối tác công nghệ",""
"Collaboration","Text Content","Item 37","Healthcare Innovation Partner","Đối tác đổi mới hệ thống y tế",""
"Collaboration","Text Content","Item 38","Research & Education Partner","Đối tác nghiên cứu và giáo dục đào tạo",""
"Collaboration","Text Content","Item 39","Other","Đối tác khác",""
"Collaboration","Form Label","Item 40","Tell us about your organization and partnership goals *","Hãy chia sẻ với chúng tôi về tổ chức và mục tiêu hợp tác của bạn *",""
"Collaboration","Form Label","Item 41","I consent to HealthSyncX using my submitted information to respond to my inquiry","Tôi đồng ý để HealthSyncX sử dụng thông tin tôi cung cấp để liên hệ và phản hồi yêu cầu của tôi.",""
"Collaboration","Text Content","Item 42","Submit Partnership Inquiry","Gửi yêu cầu hợp tác",""
"Our People","SEO - Page Title","Meta Tag","Our People","Đội ngũ","Browser tab title"
"Our People","SEO - Meta Description","Meta Tag","Meet the HealthSyncX team, partners, advisors, and collaborators building the future of healthcare technology integration.","Gặp gỡ đội ngũ HealthSyncX, đối tác, cố vấn và cộng tác viên xây dựng tương lai tích hợp công nghệ y tế.","Search engine description"
"Our People","Section Heading (H2)","Item 1","Core Team","Đội ngũ chính",""
"Our People","Paragraph","Item 2","Our dedicated team brings together expertise in biomedical engineering, healthcare IT, and systems integration.","Đội ngũ chuyên gia của chúng tôi kết hợp kiến thức về kỹ thuật y sinh, CNTT y tế và tích hợp hệ thống để mang đến những giải pháp toàn diện, hiệu quả và phù hợp với từng khách hàng.",""
"Our People","Section Heading (H2)","Item 3","Strategic Partners","Đối tác chiến lược",""
"Our People","Paragraph","Item 4","We collaborate with leading technology providers, healthcare organizations, and research institutions across the Asia-Pacific region.","Chúng tôi hợp tác cùng các nhà cung cấp công nghệ, tổ chức y tế và cơ sở nghiên cứu hàng đầu trong khu vực Châu Á – Thái Bình Dương để cùng mang chuyên môn toàn cầu đến các thị trường địa phương.",""
"Our People","Section Heading (H2)","Item 5","Advisory Board","Ban cố vấn",""
"Our People","Paragraph","Item 6","Our advisors provide strategic guidance across healthcare innovation, regulatory compliance, and market expansion.","Các nhà lãnh đạo ngành, giám đốc y tế và chuyên gia công nghệ của chúng tôi đóng vai trò cố vấn chiến lược, giúp HealthSyncX luôn bắt nhịp với xu hướng đổi mới, yêu cầu pháp lý và nhu cầu thị trường.",""
"Our People","Section Heading (H2)","Item 7","Research Collaborators","Đối tác nghiên cứu",""
"Our People","Paragraph","Item 8","We work closely with universities and research centers to advance healthcare technology integration and innovation.","Chúng tôi hợp tác chặt chẽ với các trường đại học và trung tâm nghiên cứu trong khu vực APAC để thúc đẩy phát triển công nghệ y tế và các sáng kiến đổi mới.",""
"Our People","Section Heading (H2)","Item 9","Join Our Network","Tham gia vào mạng lưới hợp tác của HealthSyncX",""
"Our People","Paragraph","Item 10","We're always looking for talented professionals, strategic partners, and research collaborators to join our mission of transforming healthcare through people-first systems integration.","HealthSyncX luôn chào đón các chuyên gia, đối tác chiến lược và cộng tác viên nghiên cứu cùng chung sứ mệnh đổi mới hệ thống y tế thông qua mô hình tích hợp lấy con người làm trung tâm.",""
"Our People","Link Text","Item 11","Partner With Us","Hợp tác cùng HealthSyncX",""
"Contact","SEO - Page Title","Meta Tag","Contact Us","Liên hệ","Browser tab title"
"Contact","SEO - Meta Description","Meta Tag","Contact HealthSyncX for expert systems integration consultancy. Free 30-minute consultation available. Serving Vietnam & APAC Region.","Liên hệ với HealthSyncX để được tư vấn chuyên môn về tích hợp hệ thống. Tư vấn miễn phí 30 phút. Phục vụ Việt Nam & Khu vực APAC.","Search engine description"
"Contact","Section Heading (H2)","Item 1","Send us a message","Liên hệ với chúng tôi",""
"Contact","Form Label","Item 2","Name *","Họ và tên *",""
"Contact","Form Label","Item 3","Email *","Email *",""
"Contact","Form Label","Item 4","Company/Organization *","Công ty/Tổ chức *",""
"Contact","Form Label","Item 5","Phone *","Điện thoại *",""
"Contact","Form Label","Item 6","Website (optional)","Website (nếu có)",""
"Contact","Form Label","Item 7","Message *","Nội dung tin nhắn *",""
"Contact","Form Label","Item 8","I consent to HealthSyncX using my submitted information to respond to my inquiry","Tôi đồng ý để HealthSyncX sử dụng thông tin tôi cung cấp để liên hệ và phản hồi yêu cầu của tôi.",""
"Contact","Text Content","Item 9","Send Message","Gửi tin nhắn",""
"Contact","Subsection Heading (H3)","Item 10","Contact Information","Thông tin liên hệ",""
"Contact","Minor Heading (H4)","Item 11","Email","Email",""
"Contact","Link Text","Item 12","contact@healthsyncx.org","contact@healthsyncx.org",""
"Contact","Minor Heading (H4)","Item 13","Location","Địa điểm",""
"Contact","Paragraph","Item 14","Vietnam","Việt Nam",""
"Contact","Text Content","Item 15","New Zealand","New Zealand",""
"Contact","Minor Heading (H4)","Item 16","Free 30-minute consultation","30 phút tư vấn miễn phí",""
"Contact","Paragraph","Item 17","Book a free 30-minute consultation to discuss your systems integration needs.","Đăng ký tư vấn miễn phí 30 phút để trao đổi về nhu cầu tích hợp hệ thống của bạn.",""
"Contact","Paragraph","Item 18","Response time: Within 24 hours","Thời gian phản hồi: trong vòng 24 giờ",""
"Privacy Policy","SEO - Page Title","Meta Tag","Privacy Policy","Chính sách Bảo mật","Browser tab title"
"Privacy Policy","SEO - Meta Description","Meta Tag","HealthSyncX Privacy Policy - How we collect, use, and protect your personal information.","Chính sách Bảo mật của HealthSyncX - Cách chúng tôi thu thập, sử dụng và bảo vệ thông tin cá nhân của bạn.","Search engine description"
"Privacy Policy","Main Heading (H1)","Item 1","Privacy Policy","Chính sách bảo mật",""
"Privacy Policy","Paragraph","Item 2","Your privacy is important to us","Chúng tôi luôn coi trọng quyền riêng tư của mọi người.",""
"Privacy Policy","Paragraph","Item 3","Last updated:","Cập nhật lần cuối:",""
"Privacy Policy","Section Heading (H2)","Item 4","Introduction","Giới thiệu",""
"Privacy Policy","Paragraph","Item 5","HealthSyncX Co., Ltd is a Vietnam-registered company operating in Vietnam and collaborating in New Zealand and other Asia-Pacific regions. This Privacy Policy explains how we collect, use, and protect personal information on our website.","Công ty TNHH HealthSyncX được đăng ký tại Việt Nam, hoạt động tại Việt Nam và hợp tác với các đối tác tại New Zealand cùng nhiều quốc gia trong khu vực Châu Á – Thái Bình Dương. Chính sách này giải thích cách chúng tôi thu thập, sử dụng và bảo vệ thông tin cá nhân trên trang web của mình.",""
"Privacy Policy","Section Heading (H2)","Item 6","Information We Collect","Thông tin chúng tôi thu thập",""
"Privacy Policy","Paragraph","Item 7","We may collect information such as your name, company, email, phone number, and message details when you contact us. We also collect non-personal data such as browser type, IP address, and cookies for website analytics.","Khi bạn liên hệ với chúng tôi, chúng tôi có thể thu thập thông tin như họ tên, công ty, email, số điện thoại và nội dung tin nhắn. Ngoài ra, một số dữ liệu phi cá nhân như loại trình duyệt, địa chỉ IP và cookie cũng có thể được thu thập để phân tích hoạt động của trang web.",""
"Privacy Policy","Section Heading (H2)","Item 8","How We Use Information","Mục đích sử dụng thông tin",""
"Privacy Policy","Paragraph","Item 9","We use this information to respond to inquiries, improve our website, and comply with applicable laws. Data is never sold or shared for marketing purposes without consent.","Thông tin được sử dụng để phản hồi yêu cầu của người gửi, cải thiện trải nghiệm trang web và tuân thủ các quy định pháp luật. Chúng tôi cam kết không bán hoặc chia sẻ dữ liệu cho mục đích tiếp thị nếu chưa có sự đồng ý của bạn.",""
"Privacy Policy","Section Heading (H2)","Item 10","Data Storage and Security","Lưu trữ và bảo mật dữ liệu",""
"Privacy Policy","Paragraph","Item 11","Your data is securely stored using encrypted hosting and limited internal access. We retain data only as long as necessary for our business or legal obligations.","Dữ liệu của người gửi được lưu trữ an toàn trên hệ thống mã hóa và chỉ những nhân sự được ủy quyền mới có quyền truy cập. Chúng tôi chỉ lưu giữ dữ liệu trong thời gian cần thiết để phục vụ hoạt động của HealthSyncX hoặc yêu cầu pháp lý.",""
"Privacy Policy","Section Heading (H2)","Item 12","International Scope","Phạm vi quốc tế",""
"Privacy Policy","Paragraph","Item 13","While HealthSyncX collaborates with partners in New Zealand, all personal data collected via this website is processed under Vietnamese law. When applicable, New Zealand privacy principles will also be respected.","Mặc dù HealthSyncX hợp tác với các đối tác tại New Zealand, các dữ liệu cá nhân thu thập qua trang web này đều được xử lý theo quy định của pháp luật Việt Nam. Trong những trường hợp cần thiết, các nguyên tắc bảo mật của New Zealand cũng sẽ được áp dụng.",""
"Privacy Policy","Section Heading (H2)","Item 14","User Rights","Quyền của người dùng",""
"Privacy Policy","Paragraph","Item 15","You have the right to request access, correction, or deletion of your personal data. Please contact us if you wish to exercise these rights.","Bạn có quyền yêu cầu truy cập, chỉnh sửa hoặc xóa dữ liệu cá nhân của mình. Vui lòng liên hệ với chúng tôi nếu bạn muốn thực hiện các quyền này.",""
"Privacy Policy","Section Heading (H2)","Item 16","Policy Updates","Cập nhật chính sách",""
"Privacy Policy","Paragraph","Item 17","We may update this Privacy Policy periodically. Any changes will be posted on this page with an updated date.","Chính sách bảo mật có thể được cập nhật định kỳ. Mọi thay đổi sẽ được thông báo trên trang này cùng ngày cập nhật mới nhất.",""
"Privacy Policy","Section Heading (H2)","Item 18","Contact Information","Thông tin liên hệ",""
"Privacy Policy","Paragraph","Item 19","If you have questions about this Privacy Policy, please contact us at","Nếu bạn có câu hỏi về chính sách bảo mật này, vui lòng liên hệ với chúng tôi qua địa chỉ email:",""
"Privacy Policy","Link Text","Item 20","contact@healthsyncx.org","contact@healthsyncx.org",""
"Terms & Conditions","SEO - Page Title","Meta Tag","Terms & Conditions","Điều khoản & Điều kiện","Browser tab title"
"Terms & Conditions","SEO - Meta Description","Meta Tag","HealthSyncX Terms & Conditions - Legal terms governing the use of our website and services.","Điều khoản & Điều kiện của HealthSyncX - Các điều khoản pháp lý điều chỉnh việc sử dụng trang web và dịch vụ của chúng tôi.","Search engine description"
"Terms & Conditions","Main Heading (H1)","Item 1","Terms & Conditions","Điều khoản & điều kiện",""
"Terms & Conditions","Paragraph","Item 2","Legal terms governing the use of our services","Các điều khoản pháp lý điều chỉnh việc sử dụng dịch vụ của chúng tôi",""
"Terms & Conditions","Paragraph","Item 3","Last updated:","Cập nhật lần cuối:",""
"Terms & Conditions","Section Heading (H2)","Item 4","Acceptance of Terms","Chấp nhận điều khoản",""
"Terms & Conditions","Paragraph","Item 5","By accessing or using the website of HealthSyncX Co., Ltd, you agree to comply with these Terms and Conditions.","Khi truy cập hoặc sử dụng trang web của Công ty TNHH HealthSyncX, bạn đồng ý với việc chấp nhận và tuân thủ các điều khoản & điều kiện trong chính sách này.",""
"Terms & Conditions","Section Heading (H2)","Item 6","Use of Website","Sử dụng trang web",""
"Terms & Conditions","Paragraph","Item 7","Users must not use this website for unlawful purposes, hacking, or unauthorized data extraction.","Người dùng không được phép sử dụng trang web cho các hành vi vi phạm pháp luật, tấn công mạng hoặc trích xuất dữ liệu trái phép.",""
"Terms & Conditions","Section Heading (H2)","Item 8","Intellectual Property","Quyền sở hữu trí tuệ",""
"Terms & Conditions","Paragraph","Item 9","All content, logos, and materials on this website belong to HealthSyncX Co., Ltd. Reproduction or distribution without consent is prohibited.","Tất cả nội dung, logo và tài liệu trên trang web này thuộc quyền sở hữu của Công ty TNHH HealthSyncX. Mọi hình thức sao chép hoặc phân phối mà không có sự đồng ý bằng văn bản đều bị nghiêm cấm.",""
"Terms & Conditions","Section Heading (H2)","Item 10","Disclaimer","Miễn trừ trách nhiệm",""
"Terms & Conditions","Paragraph","Item 11","Information on this website is provided for general informational purposes and does not constitute professional or medical advice.","Thông tin trên trang web chỉ mang tính tham khảo chung và không được xem là lời khuyên chuyên môn hoặc y tế.",""
"Terms & Conditions","Section Heading (H2)","Item 12","Links to Other Sites","Liên kết đến trang khác",""
"Terms & Conditions","Paragraph","Item 13","Our website may contain links to third-party sites. We are not responsible for their content or privacy practices.","Trang web của chúng tôi có thể bao gồm liên kết đường dẫn đến các trang của bên thứ ba. HealthSyncX không chịu trách nhiệm về nội dung hoặc chính sách bảo mật của các trang đó.",""
"Terms & Conditions","Section Heading (H2)","Item 14","Governing Law","Luật điều chỉnh",""
