Page,Section,English,Vietnamese,Notes
About,Paragraph 4,"At HealthSyncX, we focus on transforming complexity into clarity. Our approach integrates engineering expertise, digital innovation, and human-centered design to help organizations align their technologies, data, and workflows. Whether you are a healthcare provider, research institution, or enterprise seeking to modernize your operations, we tailor solutions that fit your unique goals and realities.","Tại HealthSyncX, chúng tôi tập trung vào việc chuyển đổi sự phức tạp thành sự rõ ràng. Cách tiếp cận của chúng tôi tích hợp chuyên môn kỹ thuật, đổi mới số và thiết kế lấy con người làm trung tâm để giúp các tổ chức điều chỉnh công nghệ, dữ liệu và quy trình làm việc của họ. Cho dù bạn là nhà cung cấp dịch vụ y tế, tổ chức nghiên cứu hay doanh nghiệp muốn hiện đại hóa hoạt động của mình, chúng tôi điều chỉnh các giải pháp phù hợp với mục tiêu và thực tế riêng của bạn.",
About,Paragraph 5,"Our work spans healthcare technology integration, digital transformation, research collaboration, and professional training — always guided by the belief that innovation must serve people first. We partner with hospitals, universities, and industry innovators across Asia-Pacific to co-create sustainable and secure ecosystems that enhance quality, efficiency, and trust.","Công việc của chúng tôi trải dài trên tích hợp công nghệ y tế, chuyển đổi số, hợp tác nghiên cứu và đào tạo chuyên nghiệp — luôn được hướng dẫn bởi niềm tin rằng đổi mới phải phục vụ con người trước tiên. Chúng tôi hợp tác với bệnh viện, trường đại học và các nhà đổi mới công nghiệp trên khắp Châu Á-Thái Bình Dương để đồng sáng tạo các hệ sinh thái bền vững và an toàn nhằm nâng cao chất lượng, hiệu quả và lòng tin.",
About,Text,"""Synchronizing technology, systems, and people — for better healthcare everywhere.""","""Đồng bộ hóa công nghệ, hệ thống và con người — cho chăm sóc sức khỏe tốt hơn ở mọi nơi.""",
About,Heading 4,Our Values,Giá trị của Chúng tôi,
About,Heading 5,Mission-Driven,Hướng đến Sứ mệnh,
About,Text 2,Dedicated to transforming operations through seamless technology integration,Cống hiến cho việc chuyển đổi hoạt động thông qua tích hợp công nghệ liền mạch,
About,Heading 6,Excellence,Xuất sắc,
About,Text 3,Committed to delivering the highest quality solutions and service,Cam kết cung cấp giải pháp và dịch vụ chất lượng cao nhất,
About,Heading 7,Client-Focused,Tập trung vào Khách hàng,
About,Text 4,Building lasting partnerships through trust and collaboration,Xây dựng quan hệ đối tác lâu dài thông qua lòng tin và hợp tác,
About,Heading 8,Innovation,Đổi mới,
About,Text 5,Leveraging proven and emerging technologies to solve complex challenges,Tận dụng các công nghệ đã được chứng minh và mới nổi để giải quyết những thách thức phức tạp,
About,Heading 9,Meet Our Founder,Gặp gỡ Người sáng lập,
About,Heading 10,Long 'Leo' Phi Dang,Long 'Leo' Phi Dang,
About,Heading 11,Founder & CEO,Người sáng lập & CEO,
About,Heading 12,Oxford,Oxford,
About,Heading 13,MSc Biomedical Engineering,Thạc sĩ Kỹ thuật Y sinh,
About,Heading 14,"University of Oxford, England","Đại học Oxford, Anh",
About,Heading 15,UM,UM,
About,Heading 16,MEng Telecommunication Engineering,Thạc sĩ Kỹ thuật Viễn thông,
About,Heading 17,"University of Melbourne, Australia","Đại học Melbourne, Úc",
About,Heading 18,UCLA,UCLA,
About,Heading 19,BSc Electrical Engineering,Cử nhân Kỹ thuật Điện,
About,Heading 20,"University of California - Los Angeles, USA","Đại học California - Los Angeles, Mỹ",
About,Heading 21,ASQA,ASQA,
About,Heading 22,Nationally Certified Trainer,Giảng viên Được Chứng nhận Quốc gia,
About,Heading 23,Australian Skills Quality Authority (ASQA),Cơ quan Chất lượng Kỹ năng Úc (ASQA),
About,Heading 24,UIUC,UIUC,
About,Heading 25,Strategic Leadership and Management,Lãnh đạo Chiến lược và Quản lý,
About,Heading 26,"University of Illinois, USA","Đại học Illinois, Mỹ",
About,Heading 27,ICL,ICL,
About,Heading 28,Digital Health Specialization,Chuyên môn Sức khỏe Số,
About,Heading 29,"Imperial College London, England","Imperial College London, Anh",
About,Heading 30,Stanford,Stanford,
About,Heading 31,AI in Healthcare Specialization,Chuyên môn AI trong Y tế,
About,Heading 32,"Stanford University, USA","Đại học Stanford, Mỹ",
About,Heading 33,JHU,JHU,
About,Heading 34,AI for Cybersecurity Specialization,Chứng chỉ Chuyên ngành AI cho An ninh mạng,
About,Heading 35,"Johns Hopkins University, USA","Đại học Johns Hopkins, Hoa Kỳ",
About,Heading 36,Connect,Kết nối,
About,Paragraph 6,"""What if the real cure for healthcare's complexity lies not in more technology, but in connecting what already exists — systems, data, and people?""","""Điều gì sẽ xảy ra nếu giải pháp thực sự cho sự phức tạp của chăm sóc sức khỏe không nằm ở việc thêm công nghệ, mà là ở việc kết nối những gì đã tồn tại — hệ thống, dữ liệu và con người?""",
About,Paragraph 7,"As a globally experienced biomedical engineer, researcher, and technology leader with over 20 years of professional and academic experience across Asia, Oceania, Europe, and North America, I've seen how fragmented healthcare systems affect not only efficiency but also human well-being.","Là một kỹ sư y sinh, nhà nghiên cứu và nhà lãnh đạo công nghệ có kinh nghiệm toàn cầu với hơn 20 năm kinh nghiệm chuyên môn và học thuật trên khắp Châu Á, Châu Đại Dương, Châu Âu và Bắc Mỹ, tôi đã thấy cách các hệ thống y tế phân mảnh ảnh hưởng không chỉ đến hiệu quả mà còn đến phúc lợi của con người.",
About,Paragraph 8,"Having lived and worked in Vietnam, Australia, New Zealand, the United Kingdom, and the United States, I bring a uniquely international perspective on how science, technology, and people can harmonize to improve healthcare outcomes.","Đã sống và làm việc tại Việt Nam, Úc, New Zealand, Vương quốc Anh và Hoa Kỳ, tôi mang đến một góc nhìn quốc tế độc đáo về cách khoa học, công nghệ và con người có thể hài hòa để cải thiện kết quả y tế.",
About,Paragraph 9,"HealthSyncX Co., Ltd was founded to bridge the gaps that exist across today's fragmented healthcare ecosystem. It was born from a simple yet powerful vision —","HealthSyncX Co., Ltd được thành lập để nối kết các khoảng cách tồn tại trong hệ sinh thái y tế phân mảnh ngày nay. Nó ra đời từ một tầm nhìn đơn giản nhưng mạnh mẽ —",
About,Text 6,"to synchronize technology, systems, and people for better healthcare everywhere","đồng bộ hóa công nghệ, hệ thống và con người để có dịch vụ y tế tốt hơn ở mọi nơi",
About,Paragraph 10,"For me, integration means more than linking devices or software; it's about connecting hearts, minds, and expertise across disciplines and borders to create healthcare solutions that are intelligent, collaborative, and human-centered.","Đối với tôi, tích hợp không chỉ là liên kết các thiết bị hoặc phần mềm; đó là việc kết nối trái tim, khối óc và chuyên môn trên các ngành và biên giới để tạo ra các giải pháp y tế thông minh, hợp tác và lấy con người làm trung tâm.",
About,Paragraph 11,"My work combines deep technical knowledge, strategic leadership, and a holistic understanding of the healthcare ecosystem — enabling HealthSyncX to design innovations that are not only cutting-edge but also practical, sustainable, and meaningful to the people who rely on them.","Công việc của tôi kết hợp kiến thức kỹ thuật sâu rộng, lãnh đạo chiến lược và sự hiểu biết toàn diện về hệ sinh thái y tế — cho phép HealthSyncX thiết kế các đổi mới không chỉ tiên tiến mà còn thực tế, bền vững và có ý nghĩa với những người dựa vào chúng.",
About,Heading 37,Core Expertise,Chuyên môn Cốt lõi,
About,Heading 38,Systems Integration,Tích hợp Hệ thống,
About,Heading 39,Medical Imaging,Hình ảnh Y khoa,
About,Heading 40,Healthcare IT,CNTT Y tế,
About,Heading 41,Technical Consultancy,Tư vấn Kỹ thuật,
About,Heading 42,Research Collaboration,Hợp tác Nghiên cứu,

People,Heading,Our People,Con người đằng sau HealthSyncX,
People,Text,Building the future through collaboration with talented professionals across the region,"Xây dựng mạng lưới chuyên gia, đối tác và cộng tác viên cống hiến cho việc chuyển đổi công nghệ y tế",
People,Heading 2,Core Team,Đội ngũ Cốt lõi,
People,Paragraph,"Our dedicated team brings together expertise in biomedical engineering, healthcare IT, and systems integration.","Đội ngũ kỹ sư, tư vấn và chuyên gia công nghệ y tế tận tâm làm việc để cung cấp giải pháp tích hợp hệ thống xuất sắc. Chúng tôi kết hợp chuyên môn kỹ thuật với hiểu biết sâu sắc về nhu cầu người dùng.",
People,Text 2,Detailed profiles coming soon as we expand our network.,Hồ sơ chi tiết sẽ sớm được cập nhật khi chúng tôi mở rộng mạng lưới.,
People,Heading 3,Strategic Partners,Đối tác Chiến lược,
People,Paragraph 2,"We collaborate with leading technology providers, healthcare organizations, and research institutions across the Asia-Pacific region.","Nhà cung cấp công nghệ, tổ chức y tế và nhà cung cấp dịch vụ mà chúng tôi hợp tác để cung cấp giải pháp toàn diện. Mạng lưới đối tác của chúng tôi trải dài khắp Châu Á-Thái Bình Dương, mang chuyên môn toàn cầu đến thị trường địa phương.",
People,Text 3,Detailed profiles coming soon as we expand our network.,Hồ sơ chi tiết sẽ sớm được cập nhật khi chúng tôi mở rộng mạng lưới.,
People,Heading 4,Advisory Board,Cố vấn,
People,Paragraph 3,"Our advisors provide strategic guidance across healthcare innovation, regulatory compliance, and market expansion.","Các nhà lãnh đạo ngành, giám đốc điều hành y tế và chuyên gia công nghệ cung cấp hướng dẫn chiến lược và chuyên môn lĩnh vực. Những hiểu biết của họ giúp chúng tôi luôn phù hợp với nhu cầu thị trường và thực tiễn tốt nhất của ngành.",
People,Text 4,Detailed profiles coming soon as we expand our network.,Hồ sơ chi tiết sẽ sớm được cập nhật khi chúng tôi mở rộng mạng lưới.,
People,Heading 5,Research Collaborators,Cộng tác viên Nghiên cứu,
People,Paragraph 4,We work closely with universities and research centers to advance healthcare technology integration and innovation.,"Các trường đại học, cơ sở nghiên cứu và trung tâm đổi mới làm việc cùng chúng tôi trong các dự án công nghệ y tế tiên tiến, nghiên cứu và các sáng kiến trao đổi kiến thức trên khu vực APAC.",
People,Text 5,Detailed profiles coming soon as we expand our network.,Hồ sơ chi tiết sẽ sớm được cập nhật khi chúng tôi mở rộng mạng lưới.,
People,Heading 6,Join Our Network,Tham gia Mạng lưới của Chúng tôi,
People,Paragraph 5,"We're always looking for talented professionals, strategic partners, and research collaborators to join our mission of transforming healthcare through people-first systems integration.","Cho dù bạn đang muốn tham gia đội ngũ, khám phá cơ hội hợp tác, hoặc cộng tác trong các sáng kiến nghiên cứu, chúng tôi rất mong được gặp bạn.",
People,Heading 7,Get in Touch,Liên hệ,
People,Heading 8,Partner With Us,Hợp tác với Chúng tôi,

Contact,Heading,Send us a message,Gửi Tin nhắn cho Chúng tôi,
Contact,Heading 2,Name *,Họ và Tên *,
Contact,Heading 3,Email *,Email *,
Contact,Heading 4,Organization *,Tổ chức *,
Contact,Heading 5,Phone *,Điện thoại *,
Contact,Heading 6,Website (optional),Website (tùy chọn),
Contact,Heading 7,Message *,Tin nhắn *,
Contact,Paragraph,I consent to HealthSyncX collecting and processing my personal information for the purpose of responding to my inquiry. My data will be handled in accordance with our Privacy Policy.,Tôi đồng ý để HealthSyncX thu thập và xử lý thông tin cá nhân của tôi nhằm mục đích phản hồi yêu cầu của tôi. Dữ liệu của tôi sẽ được xử lý theo Chính sách Bảo mật của chúng tôi.,
Contact,Heading 8,Send Message,Gửi Tin nhắn,
Contact,Heading 9,Contact Information,Thông tin Liên hệ,
Contact,Heading 10,Email,Email,
Contact,Button/Link,contact@healthsyncx.org,contact@healthsyncx.org,
Contact,Heading 11,Location,Địa điểm,
Contact,Heading 12,Vietnam,Việt Nam,
Contact,Heading 13,New Zealand,New Zealand,
Contact,Heading 14,Free Consultation,Tư vấn Miễn phí,
Contact,Text,Book a free 30-minute consultation to discuss your systems integration needs.,Đặt buổi tư vấn miễn phí 30 phút để thảo luận về nhu cầu tích hợp hệ thống của bạn.,
Contact,Heading 15,Response time: Within 24 hours,Thời gian phản hồi: Trong vòng 24 giờ,

Privacy,Heading,Privacy Policy,Chính sách Bảo mật,
Privacy,Heading 2,Your privacy is important to us,Quyền riêng tư của bạn rất quan trọng với chúng tôi,
Privacy,Heading 3,Last updated:,Cập nhật lần cuối:,
Privacy,Heading 4,Introduction,Giới thiệu,
Privacy,Paragraph,"HealthSyncX Co., Ltd is a Vietnam-registered company operating in Vietnam and collaborating in New Zealand and other Asia-Pacific regions. This Privacy Policy explains how we collect, use, and protect personal information on our website.","Công ty TNHH HealthSyncX được đăng ký tại Việt Nam, hoạt động tại Việt Nam và hợp tác tại New Zealand cũng như các khu vực Châu Á – Thái Bình Dương khác. Chính sách bảo mật này giải thích cách chúng tôi thu thập, sử dụng và bảo vệ thông tin cá nhân trên trang web của mình.",
Privacy,Heading 5,Information We Collect,Thông Tin Chúng Tôi Thu Thập,
Privacy,Paragraph 2,"We may collect information such as your name, email, phone number, and message details when you contact us. We also collect non-personal data such as browser type, IP address, and cookies for website analytics.","Chúng tôi có thể thu thập thông tin như họ tên, email, số điện thoại và nội dung tin nhắn khi bạn liên hệ với chúng tôi. Ngoài ra, chúng tôi cũng thu thập dữ liệu phi cá nhân như loại trình duyệt, địa chỉ IP và cookie để phân tích hiệu suất trang web.",
Privacy,Heading 6,How We Use Information,Mục Đích Sử Dụng Thông Tin,
Privacy,Paragraph 3,"We use this information to respond to inquiries, improve our website, and comply with applicable laws. Data is never sold or shared for marketing purposes without consent.","Chúng tôi sử dụng thông tin để phản hồi yêu cầu, cải thiện trang web và tuân thủ các quy định pháp luật. Dữ liệu sẽ không bao giờ được bán hoặc chia sẻ cho mục đích tiếp thị khi chưa có sự đồng ý của bạn.",
Privacy,Heading 7,Data Storage and Security,Lưu Trữ và Bảo Mật Dữ Liệu,
Privacy,Paragraph 4,Your data is securely stored using encrypted hosting and limited internal access. We retain data only as long as necessary for our business or legal obligations.,Dữ liệu của bạn được lưu trữ an toàn bằng máy chủ mã hóa và chỉ những người có thẩm quyền mới được truy cập. Chúng tôi chỉ lưu giữ dữ liệu trong thời gian cần thiết cho hoạt động hoặc nghĩa vụ pháp lý.,
Privacy,Heading 8,International Scope,Phạm Vi Quốc Tế,
Privacy,Paragraph 5,"While HealthSyncX collaborates with partners in New Zealand, all personal data collected via this website is processed under Vietnamese law. When applicable, New Zealand privacy principles will also be respected.","Mặc dù HealthSyncX hợp tác với các đối tác tại New Zealand, tất cả dữ liệu cá nhân thu thập qua trang web này được xử lý theo luật pháp Việt Nam. Trong trường hợp cần thiết, các nguyên tắc bảo mật của New Zealand cũng sẽ được tôn trọng.",
Privacy,Heading 9,User Rights,Quyền Của Người Dùng,
Privacy,Paragraph 6,"You have the right to request access, correction, or deletion of your personal data. Please contact us if you wish to exercise these rights.","Bạn có quyền yêu cầu truy cập, chỉnh sửa hoặc xóa thông tin cá nhân của mình. Vui lòng liên hệ với chúng tôi nếu bạn muốn thực hiện các quyền này.",
Privacy,Heading 10,Policy Updates,Cập Nhật Chính Sách,
Privacy,Paragraph 7,We may update this Privacy Policy periodically. Any changes will be posted on this page with an updated date.,Chúng tôi có thể cập nhật Chính sách bảo mật này theo định kỳ. Mọi thay đổi sẽ được đăng tải trên trang này cùng với ngày cập nhật mới nhất.,
Privacy,Heading 11,Contact Information,Thông Tin Liên Hệ,
Privacy,Button/Link,"If you have questions about this Privacy Policy, please contact us at","Nếu bạn có câu hỏi về Chính sách Bảo mật này, vui lòng liên hệ với chúng tôi tại",
Privacy,Button/Link 2,contact@healthsyncx.org,contact@healthsyncx.org,

Terms,Heading,Terms & Conditions,Điều khoản & Điều kiện,
Terms,Heading 2,Legal terms governing the use of our services,Các điều khoản pháp lý điều chỉnh việc sử dụng dịch vụ của chúng tôi,
Terms,Heading 3,Last updated:,Cập nhật lần cuối:,
Terms,Heading 4,Acceptance of Terms,Chấp Nhận Điều Khoản,
Terms,Text,"By accessing or using the HealthSyncX website, you agree to comply with these Terms and Conditions.","Bằng việc truy cập hoặc sử dụng trang web HealthSyncX, bạn đồng ý tuân thủ các điều khoản và điều kiện này.",
Terms,Heading 5,Use of Website,Sử Dụng Trang Web,
Terms,Text 2,"Users must not use this website for unlawful purposes, hacking, or unauthorized data extraction.","Người dùng không được sử dụng trang web này cho các mục đích bất hợp pháp, tấn công mạng hoặc trích xuất dữ liệu trái phép.",
Terms,Heading 6,Intellectual Property,Quyền Sở Hữu Trí Tuệ,
Terms,Paragraph,"All content, logos, and materials on this website belong to HealthSyncX Co., Ltd. Reproduction or distribution without consent is prohibited.","Tất cả nội dung, biểu trưng và tài liệu trên trang web này thuộc sở hữu của Công ty TNHH HealthSyncX. Nghiêm cấm sao chép hoặc phân phối khi chưa được sự đồng ý.",
Terms,Heading 7,Disclaimer,Miễn Trách Nhiệm,
Terms,Paragraph 2,Information on this website is provided for general informational purposes and does not constitute professional or medical advice.,Thông tin trên trang web này chỉ nhằm mục đích cung cấp kiến thức chung và không được xem là tư vấn chuyên môn hoặc y tế.,
Terms,Heading 8,Links to Other Sites,Liên Kết Tới Trang Khác,
Terms,Paragraph 3,Our website may contain links to third-party sites. We are not responsible for their content or privacy practices.,Trang web của chúng tôi có thể chứa liên kết đến các trang web của bên thứ ba. Chúng tôi không chịu trách nhiệm về nội dung hoặc chính sách bảo mật của họ.,
Terms,Heading 9,Governing Law,Luật Điều Chỉnh,
Terms,Paragraph 4,"These Terms are governed by the laws of the Socialist Republic of Vietnam. For collaborations in New Zealand, applicable local laws will also be observed when required.","Các điều khoản này được điều chỉnh bởi luật pháp của nước Cộng hòa Xã hội Chủ nghĩa Việt Nam. Đối với các hợp tác tại New Zealand, luật pháp địa phương cũng sẽ được tuân thủ khi cần thiết.",
Terms,Heading 10,Contact Information,Thông Tin Liên Hệ,
Terms,Button/Link,"If you have questions about these Terms & Conditions, please contact us at","Nếu bạn có câu hỏi về các Điều khoản & Điều kiện này, vui lòng liên hệ với chúng tôi tại",
Terms,Button/Link 2,contact@healthsyncx.org,contact@healthsyncx.org,
